NewID,OriginalID#,Word,Curse_Quality,Concreteness,Frequency,Valence,Arousal,Dominance,Body_Other,Receptacle_Other,Vehicle_Other,Animate_Not,Dwelling_Not,Profession_Not,Animal_Other,Manufactured_Other,N_Lett,N_Syll,N_Phones,OrthDensity,NClustersPerSyll,NStopsPerSyllable,NClosedSyllPerSyll
361,760,sack,5.367816092,599,12.92,5.11,4.24,5,0,1,0,0,0,0,0,1,4,1,3,20,0,1,1
451,942,trash,5.103448276,593,22.47,2.74,3.66,4.24,0,1,0,0,0,0,0,1,5,1,4,5,1,1,1
314,672,pig,5.091954023,609,39.14,4.83,3.68,5.04,0,0,0,1,0,0,1,0,3,1,3,19,0,2,1
353,748,rod,5,612,10.73,4.95,3.05,5.19,0,0,0,0,0,0,0,1,3,1,3,20,0,1,1
271,581,mouth,4.908045977,576,104.41,5.59,4.14,6,1,1,0,0,0,0,0,0,5,1,3,5,0,0,1
263,569,monkey,4.862068966,606,33.51,5.82,5.15,5.74,0,0,0,1,0,0,1,0,6,2,5,3,0.5,0.5,0.5
446,932,tool,4.850574713,623,10.75,5.07,3.91,5.98,0,0,0,0,0,0,0,1,4,1,3,11,0,1,1
342,730,rat,4.793103448,606,32.61,3.21,5.9,3.35,0,0,0,1,0,0,1,0,3,1,3,33,0,1,1
410,868,stick,4.793103448,584,97.12,5.27,3.81,5.82,0,0,0,0,0,0,0,0,5,1,4,10,1,2,1
255,547,meat,4.75862069,627,43.65,6.62,4.3,5.58,0,0,0,0,0,0,0,0,4,1,3,18,0,1,1
400,847,sperm,4.666666667,576,6.24,5.47,4.86,4.43,1,0,0,1,0,0,0,0,5,1,4,1,1,1,1
389,822,skull,4.574712644,596,14.71,3.63,4.98,4.19,1,0,0,0,0,0,0,0,5,1,4,2,1,1,1
321,690,pole,4.528735632,612,12.59,5.6,3.05,4.59,0,0,0,0,0,0,0,1,4,1,3,21,0,1,1
7,20,ape,4.482758621,618,9.67,5.21,4.25,5.38,0,0,0,1,0,0,1,0,3,1,2,15,0,1,1
177,363,garbage,4.436781609,580,26.1,2.88,3.84,5.15,0,0,0,0,0,0,0,1,7,2,6,1,0,1.5,1
138,279,dog,4.413793103,565,192.84,7,5.43,5.73,0,0,0,1,0,0,1,0,3,1,3,20,0,2,1
124,243,cow,4.367816092,592,25.51,5.42,2.95,5.24,0,0,0,1,0,0,1,0,3,1,2,29,0,1,0
62,126,bucket,4.356321839,645,10.02,4.55,2.96,5.52,0,1,0,0,0,0,0,1,6,2,5,2,0,1.5,0.5
45,98,bone,4.333333333,606,26.06,5.24,4.75,6,1,0,0,0,0,0,0,0,4,1,3,23,0,1,1
442,927,toilet,4.310344828,633,28.9,3.71,4.5,6.37,0,1,0,0,0,0,0,1,6,2,5,1,0,1,0.5
352,747,rocket,4.287356322,576,11.84,5.8,5.04,5.57,0,1,1,0,0,0,0,1,6,2,5,8,0,1,0.5
126,249,cream,4.264367816,627,48.71,6.56,3.8,6.11,0,0,0,0,0,0,0,1,5,1,4,6,1,1,1
391,831,snake,4.264367816,613,22.35,4.03,7.24,3.65,0,0,0,1,0,0,1,0,5,1,4,5,1,1,1
51,107,box,4.252873563,600,89.75,5.33,2.67,4.67,0,1,0,0,0,0,0,1,3,1,4,16,1,2,1
274,587,mule,4.229885057,607,7.02,4.26,2.78,4.5,0,0,0,1,0,0,1,0,4,1,4,8,0,0,1
312,670,pie,4.229885057,590,28.75,6.45,4.05,6.29,0,0,0,0,0,0,0,1,3,1,2,21,0,1,0
203,433,horse,4.206896552,562,92.88,6.05,4.16,5.71,0,0,0,1,0,0,1,0,5,1,3,12,1,0,1
367,773,sauce,4.172413793,615,15.59,6.58,3.95,5.85,0,0,0,0,0,0,0,1,5,1,3,3,0,0,1
472,996,whale,4.103448276,617,11.25,5.81,4.2,5.57,0,0,0,1,0,0,1,0,5,1,3,5,0,0,1
185,381,gorilla,4.103448276,591,5.55,4.26,4.95,4.88,0,0,0,1,0,0,1,0,7,3,5,1,0,0.33,0
421,887,swamp,4.103448276,621,8.98,4.42,3.33,4.12,0,0,0,0,0,0,0,0,5,1,5,6,2,1,1
445,931,tongue,4.045977011,630,31.16,6.29,4.25,6.32,1,0,0,0,0,0,0,0,6,1,3,1,1,1,1
139,280,doll,4.022988506,600,24.76,5.88,3.51,5.66,0,0,0,0,0,0,0,1,4,1,3,13,0,1,1
449,937,toy,4.022988506,576,16.84,7.29,4.29,5.61,0,0,0,0,0,0,0,1,3,1,2,25,0,1,0
183,377,goat,4.022988506,587,10.53,5.3,2.94,5.17,0,0,0,1,0,0,1,0,4,1,3,11,0,2,1
455,953,tube,4.022988506,626,16.43,5.53,3.14,4.68,0,0,0,0,0,0,0,1,4,1,4,8,0,2,1
475,1001,whip,4.011494253,565,13.16,3.6,5.1,4.43,0,0,0,0,0,0,0,1,4,1,3,7,0,1,1
241,519,lip,4,583,10.75,6.38,4.6,5.95,1,0,0,0,0,0,0,0,3,1,3,24,0,1,1
485,1019,worm,3.977011494,564,10.12,4.86,3.5,5.22,0,0,0,1,0,0,1,0,4,1,3,9,1,0,1
