Word,Taboo,Arousal,Valence,CNC,Nmorph,BodyPart,Religious,BodyActs,Disease,Female,Male,SES,Mental,POS,Noun,Mod,Verb,Freq,Polysemy,Nlett,Nphones,NSyll,SyllComplexity,ClosedSyll,Stops,Fricatives
bicep,1.296296296,4.42,5.95,4.93,2,1,0,0,0,0,1,0,0,Noun,1,0,0,0.31,4,5,5,2,0,0.5,1,0.5
item,1,2.9,5.29,4.41,1,0,0,0,0,0,0,0,0,Noun,1,0,0,12.31,6,4,4,2,0,0.5,0.5,0
nigger,8.510204082,6.81,1.67,3.5,1,0,0,0,0,0,1,0,0,Noun,1,0,0,20.27,1,6,4,2,0,0,0.5,0
cocksucker,7.537037037,6.09,2.91,2.62,2,0,0,0,0,0,1,0,0,Noun,1,0,0,8.14,2,10,7,3,0,0.333333333,1,0.333333333
kike,7.511111111,4.545454545,2.02173913,2.340909091,1,0,0,0,0,0,1,0,0,Noun,1,0,0,0.43,1,4,3,1,0,1,2,0
fag,7.465517241,5.32,2.05,2.93,1,0,0,0,0,0,1,0,0,Noun,1,0,0,5.39,10,3,3,1,0,1,1,1
motherfucker,7.421052632,7.33,1.61,2.31,3,0,0,0,0,0,1,0,0,Noun,1,0,0,51.29,1,12,8,4,0,0,0.25,0.5
cunt,7.333333333,6.1,3.7,4.21,1,1,0,0,0,1,0,0,0,Noun,1,0,0,6.86,4,4,4,1,0,1,2,0
retard,7.074074074,3.83,3.28,3.56,1,0,0,0,1,0,1,0,1,Noun,1,0,0,3.94,10,6,6,2,0,0.5,1,0
spic,6.886792453,4.57,3.37,2.413043478,1,0,0,0,0,0,0,0,0,Adjective,0,1,0,1.16,2,4,4,1,1,1,2,1
fuck,6.851851852,7.14,5.23,3.19,1,0,0,1,0,0,1,0,0,Verb,0,0,1,378.57,4,4,3,1,0,1,1,1
slut,6.727272727,5.96,2.55,3.19,1,0,0,0,0,1,0,0,0,Noun,1,0,0,11.35,2,4,4,1,1,1,1,1
shithead,6.689655172,6,2.37,2.26,2,0,0,0,0,0,1,0,0,Noun,1,0,0,3.35,1,8,6,2,0,1,1,1
homo,6.679245283,3.36,3.11,2.489361702,1,0,0,0,0,0,1,0,0,Noun,1,0,0,3.71,2,4,4,2,0,0,0,0.5
dyke,6.654545455,3.67,3.8,4.24,1,0,0,0,0,1,0,0,0,Noun,1,0,0,2.59,3,4,3,1,0,1,2,0
gook,6.547169811,4.409090909,1.977272727,2.452380952,1,0,0,0,0,0,1,0,0,Noun,1,0,0,1.2,2,4,3,1,0,1,2,0
whore,6.444444444,6.29,2.7,4.15,1,0,0,0,0,1,0,1,0,Noun,1,0,0,21.1,8,5,3,1,0,1,0,1
chink,6.277777778,4.234042553,1.826086957,2.555555556,1,0,0,0,0,0,1,0,0,Noun,1,0,0,1.43,6,5,4,1,0,1,1,1
pussy,6.222222222,6.3,4.48,4.46,1,1,0,0,0,1,0,0,0,Noun,1,0,0,25.67,6,5,4,2,0,0,0.5,0.5
queer,6.148148148,3.95,4.74,2.04,1,0,0,0,0,0,0,0,0,Adjective,0,1,0,5.8,15,5,4,1,1,1,1,0
nazi,6.111111111,4.875,1.695652174,2.979166667,1,0,0,0,0,0,1,0,0,Adjective,0,1,0,6.86,4,4,5,2,0,0.5,0.5,0.5
bitch,6.111111111,5.95,2.55,3.72,1,0,0,0,0,1,0,0,0,Noun,1,0,0,168.8,12,5,3,1,0,1,1,1
twat,6,5.39,4.32,3.29,1,1,0,0,0,1,0,0,0,Noun,1,0,0,1.31,4,4,4,1,1,1,2,0
midget,5.740740741,4,4.58,4.4,1,0,0,0,1,0,1,0,0,Noun,1,0,0,4.61,2,6,5,2,0,0.5,0.5,0.5
